#name	namet	spt	norm	deg	peak	file	wfunfile	notes
HD217357	HD217357	K	K,deg=5	5.0	nan	GoodmanNormBest/n_HD217357.fits	Day3/RED/wfun/wfun_HD217357.fits	nan
CG22_12	CG22_12	M	M	nan	nan	GoodmanNormBest/n_CG22_12.fits	Day3/RED/wfun/wfun_CG22_12.fits	M norm but looks like K
CG3_70	CG3_70	M	M	nan	nan	GoodmanNormBest/n_CG3_70.fits	Day3/RED/wfun/wfun_CG3_70.fits	nan
CG14_7	CG14_7	K	K,deg=4	4.0	nan	GoodmanNormBest/n_CG14_7.fits	Day3/RED/wfun/wfun_CG14_7.fits	nan
CG22_7	CG22_7	M	M	nan	nan	GoodmanNormBest/n_CG22_7.fits	Day3/RED/wfun/wfun_CG22_7.fits	nan
CG22_6	CG22_6_target_1	K	K,deg=4	4.0	nan	GoodmanNormBest/n_CG22_6.fits	Day3/RED/wfun/wfun_CG22_6_target_1.fits	Low SNR, Main
CG14_15	CG14_15	M	M	nan	nan	GoodmanNormBest/n_CG14_15.fits	Day3/RED/wfun/wfun_CG14_15.fits	M norm but looks like K
CG14_1	CG14_1	M	M	nan	nan	GoodmanNormBest/n_CG14_1.fits	Day3/RED/wfun/wfun_CG14_1.fits	nan
CG22_1	CG22_1	M	M	nan	nan	GoodmanNormBest/n_CG22_1.fits	Day3/RED/wfun/wfun_CG22_1.fits	nan
CG22_14	CG22_14	K	K,deg=4	4.0	nan	GoodmanNormBest/n_CG22_14.fits	Day3/RED/wfun/wfun_CG22_14.fits	nan
CG30_9_target_2	CG30_9_target_2	M	M,peak=5	nan	5.0	GoodmanNormBest/n_CG30_9_target_2.fits	Special/special_efiles/wfun/wfun_CG30_9_target_2.fits	Low SNR, blend? Probably chance alignment
CG30_12_target_1	CG30_12_target_1	M	M	nan	nan	GoodmanNormBest/n_CG30_12_target_1.fits	Special/special_efiles/wfun/wfun_CG30_12_target_1.fits	Main
CG14_6_target_1	CG14_6_target_1	K	K	nan	nan	GoodmanNormBest/n_CG14_6_target_1.fits	Special/special_efiles/wfun/wfun_CG14_6_target_1.fits	Minimal blending, Main?
CG22_13_target_1	CG22_13_target_1	K	K	nan	nan	GoodmanNormBest/n_CG22_13_target_1.fits	Special/special_efiles/wfun/wfun_CG22_13_target_1.fits	Probably chance alignment
CG22_13_target_2	CG22_13_target_2	M	M	nan	nan	GoodmanNormBest/n_CG22_13_target_2.fits	Special/special_efiles/wfun/wfun_CG22_13_target_2.fits	Main
CG14_6_target_2	CG14_6_target_2	K	K	nan	nan	GoodmanNormBest/n_CG14_6_target_2.fits	Special/special_efiles/wfun/wfun_CG14_6_target_2.fits	Minimal blending, chance?
CG30_9_target_1	CG30_9_target_1	M	M	nan	nan	GoodmanNormBest/n_CG30_9_target_1.fits	Special/special_efiles/wfun/wfun_CG30_9_target_1.fits	Main
CG30_12_target_2	CG30_12_target_2	K	K	nan	nan	GoodmanNormBest/n_CG30_12_target_2.fits	Special/special_efiles/wfun/wfun_CG30_12_target_2.fits	Probably chance alignment
CG30_13	CG30_13_target_1	M	M	nan	nan	GoodmanNormBest/n_CG30_13.fits	Special/special_efiles/wfun/wfun_CG30_13_target_1.fits	Main, M norm but looks like K
