#name	object	SpT		spt_func	norm	deg	peak	file	wfunfile	notes
CG22_12	CG22_12	K7V		M	M	nan	nan	GoodmanNormBest/n_CG22_12.fits	Dr.-Yep-2024-summer-research/Day3/RED/wfun/wfun_CG22_12.fits	M norm but looks like K
CG3_70	CG3_70	K7V		M	M	nan	nan	GoodmanNormBest/n_CG3_70.fits	Dr.-Yep-2024-summer-research/Day3/RED/wfun/wfun_CG3_70.fits	nan
CG14_1	CG14_1	K7V		M	M	nan	nan	GoodmanNormBest/n_CG14_1.fits	Dr.-Yep-2024-summer-research/Day3/RED/wfun/wfun_CG14_1.fits	nan
CG22_13_target_1	CG22_13_target_1	K7V		K	K	nan	nan	GoodmanNormBest/n_CG22_13_target_1.fits	Dr.-Yep-2024-summer-research/Special/special_efiles/wfun/wfun_CG22_13_target_1.fits	Probably chance alignment
CG30_8	CG30_8	M0V		M	M	nan	nan	GoodmanNormBest/n_CG30_8.fits	Dr.-Yep-2024-summer-research/Day1/RED/wfun/wfun_CG30_8.fits	M norm but looks like K
CG22_17	CG22_17	M0V		M	M	nan	nan	GoodmanNormBest/n_CG22_17.fits	Dr.-Yep-2024-summer-research/Day3/RED/wfun/wfun_CG22_17.fits	M norm but looks like K
CG30_9_target_1	CG30_9_target_1	M0V		M	M	nan	nan	GoodmanNormBest/n_CG30_9_target_1.fits	Dr.-Yep-2024-summer-research/Special/special_efiles/wfun/wfun_CG30_9_target_1.fits	Main
CG30_13	CG30_13	M0V		M	M	nan	nan	GoodmanNormBest/n_CG30_13.fits	Dr.-Yep-2024-summer-research/Special/special_efiles/wfun/wfun_CG30_13_target_1.fits	Main, M norm but looks like K
CG30_6	CG30_6	M1.5V		M	M	nan	nan	GoodmanNormBest/n_CG30_6.fits	Dr.-Yep-2024-summer-research/Day2/RED/wfun/wfun_CG30_6.fits	nan
CG4_4	CG4_4	M1V		M	M	nan	nan	GoodmanNormBest/n_CG4_4.fits	Dr.-Yep-2024-summer-research/Day2/RED/wfun/wfun_CG4_4.fits	nan
CG4_5	CG4_5	M1V		M	M	nan	nan	GoodmanNormBest/n_CG4_5.fits	Dr.-Yep-2024-summer-research/Day1/RED/wfun/wfun_CG4_5.fits	nan
CG4_7	CG4_7	M1V		M	M	nan	nan	GoodmanNormBest/n_CG4_7.fits	Dr.-Yep-2024-summer-research/Day2/RED/wfun/wfun_CG4_7.fits	M norm but looks like K
CG14_2	CG14_2	M1V		M	M	nan	nan	GoodmanNormBest/n_CG14_2.fits	Dr.-Yep-2024-summer-research/Day3/RED/wfun/wfun_CG14_2.fits	nan
CG22_8	CG22_8	M1V		M	M	nan	nan	GoodmanNormBest/n_CG22_8.fits	Dr.-Yep-2024-summer-research/Day3/RED/wfun/wfun_CG22_8.fits	nan
CG22_7	CG22_7	M1V		M	M	nan	nan	GoodmanNormBest/n_CG22_7.fits	Dr.-Yep-2024-summer-research/Day3/RED/wfun/wfun_CG22_7.fits	nan
CG22_13_target_2	CG22_13_target_2	M1V		M	M	nan	nan	GoodmanNormBest/n_CG22_13_target_2.fits	Dr.-Yep-2024-summer-research/Special/special_efiles/wfun/wfun_CG22_13_target_2.fits	Main
CG30_5	CG30_5	M2.5V		M	M	nan	nan	GoodmanNormBest/n_CG30_5.fits	Dr.-Yep-2024-summer-research/Day2/RED/wfun/wfun_CG30_5.fits	nan
CG30_2	CG30_2	M2V		M	M	nan	nan	GoodmanNormBest/n_CG30_2.fits	Dr.-Yep-2024-summer-research/Day2/RED/wfun/wfun_CG30_2.fits	nan
CG30_3	CG30_3	M2V		M	M	nan	nan	GoodmanNormBest/n_CG30_3.fits	Dr.-Yep-2024-summer-research/Day2/RED/wfun/wfun_CG30_3.fits	nan
CG22_1	CG22_1	M2V		M	M	nan	nan	GoodmanNormBest/n_CG22_1.fits	Dr.-Yep-2024-summer-research/Day3/RED/wfun/wfun_CG22_1.fits	nan
CG30_4	CG30_4	M3.5V		M	M	nan	nan	GoodmanNormBest/n_CG30_4.fits	Dr.-Yep-2024-summer-research/Day2/RED/wfun/wfun_CG30_4.fits	nan
CG4_2	CG4_2	M3V		M	M	nan	nan	GoodmanNormBest/n_CG4_2.fits	Dr.-Yep-2024-summer-research/Day2/RED/wfun/wfun_CG4_2_target_1.fits	Main
CG22_11	CG22_11	M3V		M	M	nan	nan	GoodmanNormBest/n_CG22_11.fits	Dr.-Yep-2024-summer-research/Day3/RED/wfun/wfun_CG22_11.fits	nan
CG30_12_target_1	CG30_12_target_1	M3V		M	M	nan	nan	GoodmanNormBest/n_CG30_12_target_1.fits	Dr.-Yep-2024-summer-research/Special/special_efiles/wfun/wfun_CG30_12_target_1.fits	Main
CG22_9	CG22_9	M3V		M	M	nan	nan	GoodmanNormBest/n_CG22_9.fits	Dr.-Yep-2024-summer-research/Day3/RED/wfun/wfun_CG22_9.fits	nan
CG4_6	CG4_6	M3V		M	M	nan	nan	GoodmanNormBest/n_CG4_6.fits	Dr.-Yep-2024-summer-research/Day1/RED/wfun/wfun_CG4_6.fits	nan
CG22_6	CG22_6	M4.5V		K	K,deg=4	4	nan	GoodmanNormBest/n_CG22_6.fits	Dr.-Yep-2024-summer-research/Day3/RED/wfun/wfun_CG22_6_target_1.fits	Low SNR, Main
CG30_9_target_2	CG30_9_target_2	M4.5V	hard to tell	M	M,peak=5	nan	5	GoodmanNormBest/n_CG30_9_target_2.fits	Dr.-Yep-2024-summer-research/Special/special_efiles/wfun/wfun_CG30_9_target_2.fits	Low SNR, blend? Probably chance alignment
CG30_7	CG30_7	M4V		M	M	nan	nan	GoodmanNormBest/n_CG30_7.fits	Dr.-Yep-2024-summer-research/Day2/RED/wfun/wfun_CG30_7.fits	Main
